                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7518,                 2.5728,                 1.0999,                0.48747,                0.33795,                0.29063,                 0.1483,                 1.4758,                 4.1356,                 1.6267,             0.00023562,             0.00023562,             0.00023562
                      2,                 1.5825,                 1.5536,                 1.0053,                0.56685,                0.41047,                0.40302,                0.21912,                 1.5207,                 3.5823,                 1.7052,             0.00042673,             0.00042673,             0.00042673
                      3,                 1.5475,                 1.4119,                 1.0021,                0.66568,                0.47087,                0.50528,                0.26884,                 1.6084,                 3.5884,                 1.7663,             0.00057072,             0.00057072,             0.00057072
                      4,                 1.4896,                 1.2913,                0.98324,                0.80185,                0.41683,                0.60345,                 0.3442,                 1.4403,                 2.6093,                 1.5611,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.4207,                 1.1843,                0.96694,                0.66908,                0.47315,                0.56469,                0.30049,                 1.4385,                 2.7138,                 1.6198,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.3938,                  1.088,                 0.9544,                0.69023,                 0.6102,                0.68399,                0.39459,                 1.3977,                 2.2991,                 1.5164,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.3697,                 1.0096,                0.94073,                0.76506,                0.65939,                0.77592,                0.45285,                 1.3391,                 2.0293,                 1.4935,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.3424,                0.94797,                0.92951,                0.79696,                0.62846,                0.78898,                0.47897,                 1.2463,                 1.8929,                 1.4302,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.3118,                0.91498,                0.92503,                 0.7345,                0.76269,                0.77807,                0.45751,                 1.3963,                 1.8583,                 1.5177,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.2588,                 0.8733,                0.91004,                0.86083,                0.73932,                0.81581,                0.49292,                 1.2914,                 1.7624,                  1.439,             0.00014851,             0.00014851,             0.00014851
