                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3087,                0.98432,                0.96637,                0.69651,                0.68136,                0.67524,                0.35519,                 1.6403,                 2.3533,                 1.9565,             0.00023562,             0.00023562,             0.00023562
                      2,                  1.351,                 1.0018,                0.97788,                0.56935,                0.66296,                0.64491,                0.34448,                 1.5937,                 2.7124,                 1.9424,             0.00046424,             0.00046424,             0.00046424
                      3,                  1.356,                0.98619,                0.98443,                0.65528,                0.43972,                0.58768,                0.31092,                 1.6288,                 2.4217,                 1.8697,             0.00068344,             0.00068344,             0.00068344
                      4,                 1.3488,                0.97668,                0.98654,                0.67843,                0.65989,                0.72992,                0.39506,                 1.5721,                 2.1452,                 1.8577,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.3515,                0.94051,                0.97946,                0.82228,                0.46064,                0.55347,                0.28977,                 1.6182,                 2.3816,                 1.8884,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.3408,                0.90112,                0.97292,                0.55353,                0.81124,                0.74404,                0.39148,                 1.6182,                 1.9305,                 1.9002,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.2952,                0.86095,                0.96437,                0.71191,                 0.6601,                0.72997,                0.38688,                 1.6118,                 1.9004,                 1.8919,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.3272,                0.86791,                0.97392,                0.72431,                0.65167,                0.72918,                0.38043,                 1.7055,                 1.7323,                 1.8611,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.3194,                0.84132,                 0.9654,                0.71153,                0.73644,                0.76833,                 0.4358,                 1.5878,                 1.6307,                 1.8537,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.2836,                0.81944,                0.95848,                0.58351,                 0.7646,                0.73259,                0.41653,                 1.5547,                 1.6821,                 1.7611,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.2784,                0.79475,                0.95135,                0.74232,                0.67841,                0.76131,                0.44059,                 1.5261,                  1.576,                 1.7741,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.2589,                0.76702,                0.94381,                0.65584,                0.76573,                0.77721,                0.46071,                 1.4847,                  1.622,                 1.6633,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.2536,                  0.765,                0.94136,                0.78459,                0.68104,                0.74886,                0.44116,                 1.5322,                 1.4472,                  1.747,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.2474,                0.75933,                0.94905,                0.80417,                0.66165,                0.75153,                 0.4249,                 1.5574,                 1.6187,                 1.8011,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.2524,                0.74836,                0.93807,                0.68346,                0.77064,                0.73577,                0.40707,                 1.5453,                 1.4045,                  1.733,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.2288,                0.73039,                0.93615,                0.49836,                0.74475,                0.67316,                0.37567,                 1.5928,                 1.6736,                 1.8193,             0.00051608,             0.00051608,             0.00051608
                     17,                  1.232,                0.72874,                0.93795,                0.68224,                0.79958,                0.77375,                0.40397,                 1.5467,                 1.4301,                 1.7903,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.1862,                0.69517,                0.93212,                0.78595,                0.69075,                0.79751,                0.47841,                 1.4826,                 1.4568,                 1.6914,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.1972,                0.70096,                0.92494,                0.76843,                0.80326,                 0.8439,                0.47044,                 1.4086,                 1.3085,                 1.6438,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.2126,                0.70436,                0.92898,                0.80506,                0.81314,                0.84555,                0.49844,                 1.4284,                 1.3382,                 1.6466,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.1818,                0.68341,                0.92588,                0.74552,                0.78229,                0.79351,                0.48734,                 1.4086,                 1.4324,                 1.6798,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.1984,                0.67692,                0.92107,                0.84611,                0.72538,                0.81248,                0.45712,                 1.4696,                 1.2667,                 1.6566,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.1721,                 0.6726,                0.92126,                0.83345,                0.71443,                0.77444,                0.45146,                 1.4504,                 1.3699,                 1.7283,             0.00041712,             0.00041712,             0.00041712
                     24,                  1.183,                0.68571,                0.92519,                0.82267,                0.74906,                0.81262,                0.48796,                 1.5035,                 1.2438,                  1.713,             0.00040298,             0.00040298,             0.00040298
                     25,                  1.172,                0.66839,                0.92341,                0.76823,                0.73196,                0.79922,                0.46736,                  1.398,                 1.2716,                 1.6078,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.1568,                 0.6515,                0.91337,                 0.8041,                0.77147,                0.83993,                0.49476,                 1.4299,                 1.1643,                 1.7005,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.1546,                0.65056,                0.92247,                0.80302,                0.74877,                0.81389,                0.47783,                 1.3761,                 1.2605,                 1.6623,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.1466,                0.65437,                0.91575,                0.80602,                0.75747,                0.82571,                0.49478,                 1.3773,                 1.1986,                 1.6593,             0.00034643,             0.00034643,             0.00034643
